Timestamp,Heat Index,Thermometer,UV Radiation Sensor,Wet Bulb Globe Temperature
2023-03-01 00:00:00,78.1,77.4,4,73.5
2023-03-02 00:00:00,64.6,64.5,4,63.1
2023-03-03 00:00:00,74.0,74.4,4,73.0
2023-03-04 00:00:00,61.0,64.0,4,57.6
2023-03-05 00:00:00,68.4,72.2,4,61.5
2023-03-06 00:00:00,79.4,81.5,4,71.3
2023-03-07 00:00:00,66.9,68.1,4,61.1
2023-03-08 00:00:00,53.7,57.7,4,49.7
2023-03-09 00:00:00,58.5,60.4,2,55.0
2023-03-10 00:00:00,56.2,56.5,4,53.6
2023-03-11 00:00:00,50.7,51.7,4,49.6
2023-03-12 00:00:00,49.7,49.7,3,49.7
2023-03-13 00:00:00,44.1,44.1,4,41.7
2023-03-14 00:00:00,43.1,44.1,4,42.0
2023-03-15 00:00:00,54.0,58.0,4,50.5
2023-03-16 00:00:00,64.3,68.7,5,59.6
2023-03-17 00:00:00,58.9,58.9,3,57.2
2023-03-18 00:00:00,47.4,48.9,5,46.7
2023-03-19 00:00:00,37.6,38.8,5,37.8
2023-03-20 00:00:00,51.5,54.9,4,48.4
2023-03-21 00:00:00,53.5,56.5,3,49.2
2023-03-22 00:00:00,60.5,61.1,1,57.4
2023-03-23 00:00:00,76.3,75.5,6,74.2
2023-03-24 00:00:00,75.5,74.9,4,73.5
2023-03-25 00:00:00,69.7,71.5,5,66.9
2023-03-26 00:00:00,78.5,80.7,5,69.8
2023-03-27 00:00:00,68.7,70.9,5,65.1
2023-03-28 00:00:00,56.2,58.6,5,56.4
2023-03-29 00:00:00,60.1,65.0,5,57.2
2023-03-30 00:00:00,71.4,74.4,5,63.0
2023-03-31 00:00:00,74.4,73.6,6,69.6
2023-04-01 00:00:00,74.4,74.2,5,68.4
2023-04-02 00:00:00,68.2,71.7,5,62.5
2023-04-03 00:00:00,62.8,64.5,3,61.9
2023-04-04 00:00:00,88.8,85.3,6,81.0
2023-04-05 00:00:00,87.3,86.1,6,78.4
2023-04-06 00:00:00,65.4,64.2,1,62.9
2023-04-07 00:00:00,57.4,59.6,6,56.1
2023-04-08 00:00:00,52.7,54.7,2,52.4
2023-04-09 00:00:00,66.7,70.5,5,64.4
2023-04-10 00:00:00,72.2,74.8,5,66.4
2023-04-11 00:00:00,76.3,78.3,5,68.2
2023-04-12 00:00:00,78.6,81.8,5,70.2
2023-04-13 00:00:00,77.7,79.7,6,70.3
2023-04-14 00:00:00,75.3,75.7,6,73.4
2023-04-15 00:00:00,84.9,85.7,6,77.9
2023-04-16 00:00:00,73.9,73.9,6,66.7
2023-04-17 00:00:00,64.2,69.1,6,58.4
2023-04-18 00:00:00,79.6,83.1,5,69.4
2023-04-19 00:00:00,66.8,70.3,0,58.5
2023-04-25 00:00:00,64.4,68.8,4,61.7
2023-04-26 00:00:00,69.2,72.0,5,65.5
2023-04-27 00:00:00,64.6,64.3,2,63.5
2023-04-28 00:00:00,69.1,69.2,6,69.8
2023-04-29 00:00:00,73.6,74.0,5,70.6
2023-04-30 00:00:00,59.9,62.6,6,59.0
2023-05-01 00:00:00,63.1,65.9,6,59.5
2023-05-02 00:00:00,61.6,65.2,5,58.7
2023-05-03 00:00:00,65.2,68.8,5,61.6
2023-05-04 00:00:00,54.9,57.0,0,50.6
2023-05-08 00:00:00,86.2,82.5,6,81.0
2023-05-09 00:00:00,86.4,85.2,6,81.4
2023-05-10 00:00:00,84.5,85.3,6,78.0
2023-05-11 00:00:00,81.1,78.7,5,77.5
2023-05-12 00:00:00,73.9,72.1,3,70.8
2023-05-13 00:00:00,86.8,82.2,6,81.7
2023-05-14 00:00:00,95.0,89.3,7,85.1
2023-05-15 00:00:00,94.9,89.5,7,85.4
2023-05-16 00:00:00,89.6,86.3,7,82.0
2023-05-17 00:00:00,78.7,80.4,7,75.4
2023-05-18 00:00:00,83.6,83.1,7,79.0
2023-05-19 00:00:00,78.2,77.0,4,74.3
2023-05-20 00:00:00,73.1,71.9,5,70.7
2023-05-21 00:00:00,77.0,77.6,6,71.6
2023-05-22 00:00:00,85.7,84.8,6,80.6
2023-05-23 00:00:00,85.4,85.2,7,79.8
2023-05-24 00:00:00,84.8,84.7,6,80.2
2023-05-25 00:00:00,82.6,83.7,5,76.3
2023-05-26 00:00:00,79.1,80.0,5,73.9
2023-05-27 00:00:00,80.4,81.2,5,76.9
2023-05-28 00:00:00,72.5,73.1,7,71.0
2023-05-29 00:00:00,79.3,79.9,6,75.6
2023-05-30 00:00:00,87.2,87.3,6,80.5
2023-05-31 00:00:00,89.5,88.3,6,83.3
2023-06-01 00:00:00,91.1,89.1,6,83.1
2023-06-02 00:00:00,92.2,90.8,6,83.3
2023-06-03 00:00:00,91.3,91.9,6,81.9
2023-06-04 00:00:00,93.5,93.4,5,83.9
2023-06-05 00:00:00,95.0,91.6,5,84.1
2023-06-06 00:00:00,88.8,90.0,6,80.8
2023-06-07 00:00:00,82.6,82.7,6,76.9
2023-06-08 00:00:00,81.3,83.7,5,75.4
2023-06-09 00:00:00,83.9,86.5,5,74.7
2023-06-10 00:00:00,90.5,90.1,6,80.9
2023-06-11 00:00:00,91.5,88.0,7,82.8
2023-06-12 00:00:00,72.1,72.5,5,69.8
2023-06-13 00:00:00,79.5,80.5,6,74.8
2023-06-14 00:00:00,85.2,83.7,5,79.8
2023-06-15 00:00:00,89.0,85.0,5,82.7
2023-06-16 00:00:00,93.3,91.6,6,83.5
2023-06-17 00:00:00,86.3,86.6,5,79.9
2023-06-18 00:00:00,90.0,87.1,7,83.0
2023-06-19 00:00:00,82.9,80.0,7,79.5
2023-06-20 00:00:00,88.4,83.2,7,84.0
2023-06-21 00:00:00,84.1,80.7,7,81.7
2023-06-22 00:00:00,80.1,79.7,5,77.2
2023-06-23 00:00:00,85.4,84.1,6,80.1
2023-06-24 00:00:00,96.7,93.1,6,84.3
2023-06-25 00:00:00,110.9,95.4,7,91.0
2023-06-26 00:00:00,93.2,89.7,7,80.8
2023-06-27 00:00:00,90.6,89.6,7,81.3
2023-06-28 00:00:00,96.0,94.3,7,85.7
2023-06-29 00:00:00,92.7,88.3,4,83.6
2023-06-30 00:00:00,116.5,98.2,7,93.5
2023-07-01 00:00:00,107.1,92.2,7,89.9
2023-07-02 00:00:00,104.2,95.6,8,88.4
2023-07-03 00:00:00,96.6,91.4,7,86.2
2023-07-04 00:00:00,102.1,95.0,8,88.4
2023-07-05 00:00:00,100.1,93.9,7,88.1
2023-07-06 00:00:00,101.2,94.0,7,88.2
2023-07-07 00:00:00,97.4,90.5,7,86.2
2023-07-08 00:00:00,103.1,91.4,8,88.4
2023-07-09 00:00:00,82.1,78.8,4,79.1
2023-07-10 00:00:00,86.6,87.0,6,79.6
2023-07-11 00:00:00,92.1,92.0,7,82.2
2023-07-12 00:00:00,104.7,94.8,8,88.5
2023-07-13 00:00:00,106.5,93.3,7,89.3
2023-07-14 00:00:00,104.6,93.6,8,89.7
2023-07-15 00:00:00,97.9,88.2,8,86.3
2023-07-16 00:00:00,92.1,88.9,4,82.9
2023-07-17 00:00:00,95.5,92.1,6,85.1
2023-07-18 00:00:00,104.5,91.4,7,88.4
2023-07-19 00:00:00,86.3,82.0,6,81.0
2023-07-20 00:00:00,99.6,86.5,5,85.5
2023-07-21 00:00:00,97.1,89.4,7,86.6
2023-07-22 00:00:00,88.2,86.9,7,82.2
2023-07-23 00:00:00,89.1,88.0,6,82.0
2023-07-24 00:00:00,99.6,92.8,6,86.5
2023-07-25 00:00:00,102.3,93.9,6,87.9
2023-07-26 00:00:00,104.6,93.2,7,87.9
2023-07-27 00:00:00,108.2,97.8,6,90.1
2023-07-28 00:00:00,108.4,98.4,6,90.3
2023-07-29 00:00:00,113.7,96.9,7,91.4
2023-07-30 00:00:00,98.0,89.1,8,87.3
2023-07-31 00:00:00,94.2,90.7,7,84.3
2023-08-01 00:00:00,90.8,89.2,7,82.6
2023-08-02 00:00:00,90.1,86.7,5,82.4
2023-08-03 00:00:00,85.1,80.6,3,79.1
2023-08-04 00:00:00,91.6,84.4,5,84.0
2023-08-05 00:00:00,101.3,89.4,5,86.5
2023-08-06 00:00:00,104.2,92.7,7,89.0
2023-08-07 00:00:00,97.3,90.2,7,86.6
2023-08-08 00:00:00,86.6,84.4,6,80.2
2023-08-09 00:00:00,92.7,87.3,7,84.4
2023-08-10 00:00:00,89.4,84.2,5,80.8
2023-08-11 00:00:00,104.2,91.9,7,88.5
2023-08-12 00:00:00,95.0,85.4,5,83.2
2023-08-13 00:00:00,108.3,94.7,7,91.0
2023-08-14 00:00:00,107.0,93.0,6,89.2
2023-08-15 00:00:00,83.8,81.9,7,78.5
2023-08-16 00:00:00,83.9,82.6,6,79.1
2023-08-17 00:00:00,87.8,86.1,7,80.2
2023-08-18 00:00:00,87.4,86.5,7,81.0
2023-08-19 00:00:00,90.4,90.3,6,82.5
2023-08-20 00:00:00,103.5,96.5,6,87.5
2023-08-21 00:00:00,109.1,97.8,6,91.4
2023-08-22 00:00:00,109.3,95.8,7,90.6
2023-08-23 00:00:00,112.5,100.4,6,91.3
2023-08-24 00:00:00,112.5,99.7,6,92.1
2023-08-25 00:00:00,114.1,100.1,6,92.1
2023-08-26 00:00:00,109.6,97.5,6,90.4
2023-08-27 00:00:00,89.0,82.6,5,82.3
2023-08-28 00:00:00,89.0,83.7,6,82.9
2023-08-29 00:00:00,90.2,87.2,6,82.9
2023-08-30 00:00:00,86.6,84.8,6,81.0
2023-08-31 00:00:00,79.8,80.0,6,75.4
2023-09-01 00:00:00,99.5,90.7,6,87.3
2023-09-02 00:00:00,94.6,91.1,6,83.5
2023-09-03 00:00:00,94.9,92.3,6,83.7
2023-09-04 00:00:00,100.6,94.1,6,87.7
2023-09-05 00:00:00,98.5,90.4,6,86.7
2023-09-06 00:00:00,97.4,89.7,6,86.0
2023-09-07 00:00:00,84.0,82.3,5,77.4
2023-09-08 00:00:00,86.4,84.9,5,79.7
2023-09-09 00:00:00,84.5,82.3,5,80.2
2023-09-10 00:00:00,87.8,85.3,5,80.4
2023-09-11 00:00:00,91.8,89.2,5,83.9
2023-09-12 00:00:00,78.0,76.7,3,72.9
2023-09-13 00:00:00,80.1,81.8,5,74.4
2023-09-14 00:00:00,80.9,82.8,5,72.3
2023-10-11 00:00:00,73.2,73.2,0,67.3
2023-10-12 00:00:00,79.5,79.6,4,73.8
2023-10-13 00:00:00,76.9,75.9,4,73.8
2023-10-14 00:00:00,69.3,68.2,4,65.3
2023-10-15 00:00:00,56.9,57.2,2,54.8
2023-10-16 00:00:00,54.9,55.9,3,56.1
2023-10-17 00:00:00,57.9,58.9,1,55.6
2023-10-18 00:00:00,71.0,72.6,3,66.6
2023-10-19 00:00:00,72.7,72.9,3,69.5
2023-10-20 00:00:00,70.8,72.8,3,66.2
2023-10-21 00:00:00,80.0,82.1,3,69.8
2023-10-22 00:00:00,69.7,71.5,3,65.8
2023-10-23 00:00:00,78.7,80.9,3,70.0
2023-10-24 00:00:00,76.3,77.7,4,68.1
2023-10-25 00:00:00,79.8,80.6,3,74.2
2023-10-26 00:00:00,83.1,83.6,3,75.6
2023-10-27 00:00:00,80.2,79.8,2,73.6
2023-10-28 00:00:00,87.6,86.3,3,80.1
2023-10-29 00:00:00,80.1,79.5,2,73.7
2023-10-30 00:00:00,44.0,44.0,1,43.8
2023-10-31 00:00:00,49.6,51.1,3,47.0
2023-11-01 00:00:00,48.9,50.4,2,46.5
2023-11-02 00:00:00,56.4,60.9,2,52.3
2023-11-03 00:00:00,62.7,67.1,2,57.7
2023-11-04 00:00:00,72.7,74.5,3,65.5
2023-11-05 00:00:00,59.6,61.2,0,54.3
2023-11-16 00:00:00,76.0,76.4,1,68.8
2023-11-17 00:00:00,68.0,68.0,0,61.7
2023-11-20 00:00:00,68.4,70.2,2,65.2
2023-11-21 00:00:00,59.2,59.2,1,57.7
2023-11-22 00:00:00,48.6,49.1,1,46.6
2023-11-23 00:00:00,56.0,58.3,2,53.8
2023-11-24 00:00:00,57.1,59.5,2,56.2
2023-11-25 00:00:00,55.5,57.4,2,53.3
2023-11-26 00:00:00,52.6,52.6,1,50.8
2023-11-27 00:00:00,45.4,46.5,2,42.7
2023-11-28 00:00:00,40.3,41.7,2,38.3
2023-11-29 00:00:00,56.3,59.3,2,52.1
2023-11-30 00:00:00,59.7,62.7,2,55.3
2023-12-01 00:00:00,61.7,61.1,1,59.7
2023-12-02 00:00:00,60.4,60.3,0,58.8
2023-12-03 00:00:00,57.8,59.1,2,57.7
2023-12-04 00:00:00,54.3,56.1,2,53.7
2023-12-05 00:00:00,55.6,57.8,2,53.7
2023-12-06 00:00:00,46.0,47.0,2,47.3
2023-12-07 00:00:00,58.6,61.6,1,54.1
2023-12-08 00:00:00,52.2,53.2,1,50.7
